binary-trees.out,,,,,,,
CPython,1.8819999695,0.234375,19688,94,94,94,95
PyPy,1.256000042,0.609375,31952,69,79,73,84
chameneos-redux.out,,,,,,,
CPython,11.6510000229,11.984375,9696,49,39,32,42
PyPy,22.3179998398,12.1875,18140,24,23,27,44
fasta.out,,,,,,,
CPython,10.1960000992,10.171875,16504,15,30,66,82
PyPy,6.4700000286,6.453125,24892,16,33,43,79
Jython,40.5360000134,45.5,260924,25,32,53,87
fibonacci.out,,,,,,,
CPython,0.8619999886,0.859375,9716,29,16,53,89
PyPy,3.2029998303,2.65625,22992,35,57,86,97
IronPython,9.1050000191,9.046875,51200,43,47,58,53
Jython,3.1589999199,6.46875,225424,68,72,82,90
k-nucleotide.out,,,,,,,
CPython,0.1629998684,0.15625,31260,12,55,44,75
PyPy,0.1740000248,0.171875,31268,30,30,50,50
IronPython,4.5,4.65625,88064,40,40,59,78
Jython,3.1970000267,7.125,251584,72,80,76,83
meteor-contest.out,,,,,,,
CPython,5.7679998875,5.765625,10212,20,50,41,83
PyPy,3.0339999199,2.96875,26976,40,63,48,53
Jython,10.2050001621,15.5625,275388,44,46,62,87
n-body.out,,,,,,,
CPython,97.375,97.1875,9492,24,57,56,77
PyPy,9.6570000649,9.625,20032,18,53,46,78
IronPython,58.5859999657,57.703125,52224,44,46,58,56
Jython,98.5759999752,103.703125,271308,24,33,53,86
pidigits.out,,,,,,,
CPython,3.7900002003,3.765625,11184,24,32,55,83
PyPy,13.3929998875,13.375,25848,20,39,52,81
IronPython,13.2159998417,13.25,53248,41,48,58,72
Jython,7.507999897,11.578125,281936,47,50,64,78
pystone.out,,,,,,,
CPython,0.4460000992,0.4375,11084,24,26,53,85
PyPy,0.1900000572,0.140625,18776,10,63,44,54
IronPython,3.1160001755,3.328125,55296,43,43,58,55
Jython,3.8390002251,8.703125,208140,71,71,81,92
regex-dna.out,,,,,,,
CPython,0.1610000134,0.15625,20692,11,0,100,57
PyPy,0.1300001144,0.140625,20452,28,57,33,100
IronPython,2.9750001431,3.234375,55296,44,46,59,63
Jython,2.5789999962,5.125,145248,62,65,71,84
reverse-complement.out,,,,,,,
CPython,0.0620000362,0.046875,15896,0,0,66,0
PyPy,0.0669999123,0.046875,15852,0,75,33,33
Jython,2.4270000458,4.5,138840,67,62,70,81
richards.out,,,,,,,
CPython,1.7479999065,1.71875,9748,17,25,72,83
PyPy,0.2910001278,0.296875,25204,11,52,38,92
IronPython,5.8339998722,6.046875,52224,43,45,61,58
Jython,4.9490001202,10.625,272908,64,71,78,87
spectral-norm.out,,,,,,,
CPython,4.2920000553,4.25,9364,19,49,47,79
PyPy,0.1300001144,0.125,17656,28,57,0,100
IronPython,12.7379999161,11.703125,51200,52,57,72,83
Jython,7.3629999161,12.015625,280184,45,54,69,84
thread-ring.out,,,,,,,
CPython,0.6919999123,0.671875,9536,11,43,76,47
PyPy,0.1270000935,0.109375,17336,66,12,50,57
IronPython,4.5140001774,4.5625,51200,44,45,56,66
Jython,3.14199996,6.328125,250556,64,63,80,85
